bag,group,game,mode,dur_s,n_ticks,n_pssp,sec
G10_game3_PSSP,10,3,PSSP,193.7,775,775,481.0
G10_game4_Tele,10,4,Tele,187.9,752,752,456.0
G10_game5_DoA,10,5,DoA,187.9,752,752,458.0
G10_game6_Random,10,6,Random,186.9,748,748,455.0
G11_game3_Random,11,3,Random,188.3,754,754,461.0
G11_game4_DoA,11,4,DoA,188.7,755,755,457.0
G11_game5_Tele,11,5,Tele,187.9,752,752,458.0
G11_game6_PSSP,11,6,PSSP,194.3,778,778,472.0
G12_game3_Tele,12,3,Tele,191.3,766,766,451.0
G12_game4_PSSP,12,4,PSSP,193.5,774,774,441.0
G12_game5_Random,12,5,Random,187.7,751,751,434.0
G12_game6_DoA,12,6,DoA,200.6,803,803,476.0
G13_game3_DoA,13,3,DoA,187.8,752,752,450.0
G13_game4_Random,13,4,Random,187.8,752,752,449.0
G13_game5_PSSP,13,5,PSSP,194.8,780,780,466.0
G13_game6_Tele,13,6,Tele,188.0,753,753,450.0
G1_game3_Tele,1,3,Tele,188.8,756,756,455.0
G1_game4_PSSP,1,4,PSSP,195.6,783,783,477.0
G1_game5_DoA,1,5,DoA,192.9,772,772,468.0
G1_game6_Random,1,6,Random,188.4,754,754,460.0
G2_game3_PSSP,2,3,PSSP,196.5,786,786,480.0
G2_game4_DoA,2,4,DoA,192.1,769,769,467.0
G2_game5_Tele,2,5,Tele,195.6,783,783,476.0
G2_game6_Random,2,6,Random,198.1,793,793,482.0
G3_game3_Tele,3,3,Tele,187.4,750,750,455.0
G3_game4_DoA,3,4,DoA,195.0,781,781,471.0
G3_game5_PSSP,3,5,PSSP,194.9,780,780,472.0
G3_game6_Random,3,6,Random,188.8,756,756,461.0
G4_game3_DoA,4,3,DoA,190.1,761,761,465.0
G4_game4_PSSP,4,4,PSSP,194.8,780,780,474.0
G4_game5_Tele,4,5,Tele,189.8,760,760,467.0
G4_game6_Random,4,6,Random,188.3,754,754,461.0
G5_game3_Random,5,3,Random,190.6,763,763,465.0
G5_game4_Tele,5,4,Tele,192.0,768,768,467.0
G5_game5_PSSP,5,5,PSSP,194.4,778,778,474.0
G5_game6_DoA,5,6,DoA,189.8,760,760,465.0
G6_game3_Tele,6,3,Tele,188.9,756,756,458.0
G6_game4_Random,6,4,Random,188.5,755,755,458.0
G6_game5_PSSP,6,5,PSSP,195.3,782,782,477.0
G6_game6_DoA,6,6,DoA,188.5,754,754,462.0
G7_game3_DoA,7,3,DoA,190.3,762,762,468.0
G7_game4_Tele,7,4,Tele,188.0,753,753,464.0
G7_game5_Random,7,5,Random,187.3,750,750,462.0
G7_game6_PSSP,7,6,PSSP,195.0,780,780,475.0
G8_game3_PSSP,8,3,PSSP,194.9,780,780,477.0
G8_game4_Random,8,4,Random,187.2,749,749,460.0
G8_game5_Tele,8,5,Tele,189.0,756,756,462.0
G8_game6_DoA,8,6,DoA,198.7,795,795,486.0
G9_game3_Random,9,3,Random,186.6,747,747,459.0
G9_game4_DoA,9,4,DoA,188.2,753,753,462.0
G9_game5_PSSP,9,5,PSSP,196.0,784,784,481.0
G9_game6_Tele,9,6,Tele,188.4,754,754,462.0
