sample_id,alpha,file,bag,tick_ts,gt_label,vad_active,size
sample_01,0.30,sample_01_a30.png,G5_game4_Tele,1781662132827566976,Right,0,1080x1080
sample_01,0.45,sample_01_a45.png,G5_game4_Tele,1781662132827566976,Right,0,1080x1080
sample_01,0.60,sample_01_a60.png,G5_game4_Tele,1781662132827566976,Right,0,1080x1080
sample_01,0.75,sample_01_a75.png,G5_game4_Tele,1781662132827566976,Right,0,1080x1080
sample_01,0.90,sample_01_a90.png,G5_game4_Tele,1781662132827566976,Right,0,1080x1080
sample_05,0.30,sample_05_a30.png,G8_game4_Random,1781748365686067456,Teleoperator,1,1080x1080
sample_05,0.45,sample_05_a45.png,G8_game4_Random,1781748365686067456,Teleoperator,1,1080x1080
sample_05,0.60,sample_05_a60.png,G8_game4_Random,1781748365686067456,Teleoperator,1,1080x1080
sample_05,0.75,sample_05_a75.png,G8_game4_Random,1781748365686067456,Teleoperator,1,1080x1080
sample_05,0.90,sample_05_a90.png,G8_game4_Random,1781748365686067456,Teleoperator,1,1080x1080
sample_06,0.30,sample_06_a30.png,G11_game6_PSSP,1781834684027772800,Right,0,1080x1080
sample_06,0.45,sample_06_a45.png,G11_game6_PSSP,1781834684027772800,Right,0,1080x1080
sample_06,0.60,sample_06_a60.png,G11_game6_PSSP,1781834684027772800,Right,0,1080x1080
sample_06,0.75,sample_06_a75.png,G11_game6_PSSP,1781834684027772800,Right,0,1080x1080
sample_06,0.90,sample_06_a90.png,G11_game6_PSSP,1781834684027772800,Right,0,1080x1080
sample_07,0.30,sample_07_a30.png,G11_game3_Random,1781832756021132416,Left,0,1080x1080
sample_07,0.45,sample_07_a45.png,G11_game3_Random,1781832756021132416,Left,0,1080x1080
sample_07,0.60,sample_07_a60.png,G11_game3_Random,1781832756021132416,Left,0,1080x1080
sample_07,0.75,sample_07_a75.png,G11_game3_Random,1781832756021132416,Left,0,1080x1080
sample_07,0.90,sample_07_a90.png,G11_game3_Random,1781832756021132416,Left,0,1080x1080
sample_08,0.30,sample_08_a30.png,G11_game3_Random,1781832855271132416,Left,0,1080x1080
sample_08,0.45,sample_08_a45.png,G11_game3_Random,1781832855271132416,Left,0,1080x1080
sample_08,0.60,sample_08_a60.png,G11_game3_Random,1781832855271132416,Left,0,1080x1080
sample_08,0.75,sample_08_a75.png,G11_game3_Random,1781832855271132416,Left,0,1080x1080
sample_08,0.90,sample_08_a90.png,G11_game3_Random,1781832855271132416,Left,0,1080x1080
sample_11,0.30,sample_11_a30.png,G13_game5_PSSP,1781853588300958080,Others,0,1080x1080
sample_11,0.45,sample_11_a45.png,G13_game5_PSSP,1781853588300958080,Others,0,1080x1080
sample_11,0.60,sample_11_a60.png,G13_game5_PSSP,1781853588300958080,Others,0,1080x1080
sample_11,0.75,sample_11_a75.png,G13_game5_PSSP,1781853588300958080,Others,0,1080x1080
sample_11,0.90,sample_11_a90.png,G13_game5_PSSP,1781853588300958080,Others,0,1080x1080
sample_12,0.30,sample_12_a30.png,G13_game5_PSSP,1781853614550958080,Teleoperator,1,1080x1080
sample_12,0.45,sample_12_a45.png,G13_game5_PSSP,1781853614550958080,Teleoperator,1,1080x1080
sample_12,0.60,sample_12_a60.png,G13_game5_PSSP,1781853614550958080,Teleoperator,1,1080x1080
sample_12,0.75,sample_12_a75.png,G13_game5_PSSP,1781853614550958080,Teleoperator,1,1080x1080
sample_12,0.90,sample_12_a90.png,G13_game5_PSSP,1781853614550958080,Teleoperator,1,1080x1080
sample_14,0.30,sample_14_a30.png,G6_game5_PSSP,1781668884491057280,Left,1,1080x1080
sample_14,0.45,sample_14_a45.png,G6_game5_PSSP,1781668884491057280,Left,1,1080x1080
sample_14,0.60,sample_14_a60.png,G6_game5_PSSP,1781668884491057280,Left,1,1080x1080
sample_14,0.75,sample_14_a75.png,G6_game5_PSSP,1781668884491057280,Left,1,1080x1080
sample_14,0.90,sample_14_a90.png,G6_game5_PSSP,1781668884491057280,Left,1,1080x1080
sample_16,0.30,sample_16_a30.png,G10_game4_Tele,1781767394974140416,Right,0,1080x1080
sample_16,0.45,sample_16_a45.png,G10_game4_Tele,1781767394974140416,Right,0,1080x1080
sample_16,0.60,sample_16_a60.png,G10_game4_Tele,1781767394974140416,Right,0,1080x1080
sample_16,0.75,sample_16_a75.png,G10_game4_Tele,1781767394974140416,Right,0,1080x1080
sample_16,0.90,sample_16_a90.png,G10_game4_Tele,1781767394974140416,Right,0,1080x1080
