tick_idx,tick_ts,gt_label,vad_active,rgb,a30,a50,a70,eL,lx,ly,eR,rx,ry,eT,tx,ty,eO,ox,oy
0,1781507015204557568,Teleoperator,1,000_rgb.jpg,000_a30.jpg,000_a50.jpg,000_a70.jpg,0.000,303,387,0.000,677,405,0.376,530,836,0.000,0,0
1,1781507015454557568,Teleoperator,1,001_rgb.jpg,001_a30.jpg,001_a50.jpg,001_a70.jpg,0.000,304,388,0.000,678,399,0.345,530,833,0.000,0,0
2,1781507015704557568,Teleoperator,1,002_rgb.jpg,002_a30.jpg,002_a50.jpg,002_a70.jpg,0.000,304,390,0.000,678,399,0.408,531,834,0.000,0,0
3,1781507015954557568,Teleoperator,1,003_rgb.jpg,003_a30.jpg,003_a50.jpg,003_a70.jpg,0.000,306,392,0.000,677,398,0.447,531,834,0.000,0,0
4,1781507016204557568,Teleoperator,1,004_rgb.jpg,004_a30.jpg,004_a50.jpg,004_a70.jpg,0.000,305,389,0.000,678,399,0.471,530,843,0.000,0,0
5,1781507016454557568,Right,1,005_rgb.jpg,005_a30.jpg,005_a50.jpg,005_a70.jpg,0.000,302,388,0.882,732,427,0.000,377,645,0.200,750,332
6,1781507016704557568,Right,1,006_rgb.jpg,006_a30.jpg,006_a50.jpg,006_a70.jpg,0.000,305,387,0.918,750,409,0.059,531,827,0.310,817,329
7,1781507016954557568,Right,1,007_rgb.jpg,007_a30.jpg,007_a50.jpg,007_a70.jpg,0.004,326,422,0.910,731,434,0.000,377,645,0.216,747,349
8,1781507017204557568,Right,0,008_rgb.jpg,008_a30.jpg,008_a50.jpg,008_a70.jpg,0.000,316,388,0.882,716,439,0.000,377,645,0.176,740,351
9,1781507017454557568,Right,1,009_rgb.jpg,009_a30.jpg,009_a50.jpg,009_a70.jpg,0.000,319,387,0.867,714,437,0.000,377,645,0.149,744,346
10,1781507017704557568,Teleoperator,1,010_rgb.jpg,010_a30.jpg,010_a50.jpg,010_a70.jpg,0.000,317,387,0.000,661,382,0.345,536,838,0.000,0,0
11,1781507017954557568,Teleoperator,1,011_rgb.jpg,011_a30.jpg,011_a50.jpg,011_a70.jpg,0.000,315,384,0.000,672,386,0.341,531,837,0.000,0,0
12,1781507018204557568,Teleoperator,1,012_rgb.jpg,012_a30.jpg,012_a50.jpg,012_a70.jpg,0.000,315,385,0.000,673,389,0.337,530,840,0.000,0,0
13,1781507018454557568,Teleoperator,1,013_rgb.jpg,013_a30.jpg,013_a50.jpg,013_a70.jpg,0.004,304,389,0.000,661,382,0.341,529,837,0.004,531,104
14,1781507018704557568,Others,0,014_rgb.jpg,014_a30.jpg,014_a50.jpg,014_a70.jpg,0.173,300,465,0.000,671,390,0.000,592,645,0.220,520,97
15,1781507018954557568,Left,0,015_rgb.jpg,015_a30.jpg,015_a50.jpg,015_a70.jpg,0.612,368,458,0.047,767,467,0.000,377,645,0.220,531,109
16,1781507019204557568,Left,0,016_rgb.jpg,016_a30.jpg,016_a50.jpg,016_a70.jpg,0.788,353,437,0.000,661,402,0.000,377,645,0.039,361,329
17,1781507019454557568,Left,0,017_rgb.jpg,017_a30.jpg,017_a50.jpg,017_a70.jpg,0.878,345,431,0.000,652,402,0.000,377,645,0.102,326,351
18,1781507019704557568,Left,0,018_rgb.jpg,018_a30.jpg,018_a50.jpg,018_a70.jpg,0.925,339,440,0.000,668,409,0.000,433,645,0.247,321,359
19,1781507019954557568,Left,0,019_rgb.jpg,019_a30.jpg,019_a50.jpg,019_a70.jpg,0.937,335,442,0.000,666,408,0.000,465,645,0.318,312,361
20,1781507020204557568,Left,0,020_rgb.jpg,020_a30.jpg,020_a50.jpg,020_a70.jpg,0.541,327,481,0.004,743,408,0.000,552,645,0.471,308,477
21,1781507020454557568,Left,0,021_rgb.jpg,021_a30.jpg,021_a50.jpg,021_a70.jpg,0.729,317,452,0.000,678,413,0.000,508,645,0.635,266,435
22,1781507020704557568,Others,0,022_rgb.jpg,022_a30.jpg,022_a50.jpg,022_a70.jpg,0.624,321,448,0.004,784,425,0.000,514,645,0.702,533,108
23,1781507020954557568,Left,0,023_rgb.jpg,023_a30.jpg,023_a50.jpg,023_a70.jpg,0.694,319,446,0.016,804,470,0.000,491,645,0.663,260,431
24,1781507021204557568,Right,0,024_rgb.jpg,024_a30.jpg,024_a50.jpg,024_a70.jpg,0.016,319,445,0.867,729,468,0.000,377,645,0.122,729,378
25,1781507021454557568,Right,0,025_rgb.jpg,025_a30.jpg,025_a50.jpg,025_a70.jpg,0.000,305,387,0.863,712,463,0.000,377,645,0.086,720,383
26,1781507021704557568,Right,0,026_rgb.jpg,026_a30.jpg,026_a50.jpg,026_a70.jpg,0.000,304,387,0.863,716,465,0.000,377,645,0.086,723,387
27,1781507021954557568,Right,0,027_rgb.jpg,027_a30.jpg,027_a50.jpg,027_a70.jpg,0.000,304,389,0.906,732,439,0.000,377,645,0.200,746,356
28,1781507022204557568,Right,0,028_rgb.jpg,028_a30.jpg,028_a50.jpg,028_a70.jpg,0.000,305,390,0.875,732,439,0.000,377,645,0.157,749,353
29,1781507022454557568,Right,0,029_rgb.jpg,029_a30.jpg,029_a50.jpg,029_a70.jpg,0.000,303,389,0.871,732,445,0.000,377,645,0.114,745,364
30,1781507022704557568,Right,0,030_rgb.jpg,030_a30.jpg,030_a50.jpg,030_a70.jpg,0.000,306,393,0.867,749,434,0.000,377,645,0.133,748,352
31,1781507022954557568,Right,0,031_rgb.jpg,031_a30.jpg,031_a50.jpg,031_a70.jpg,0.000,307,395,0.855,749,427,0.000,377,645,0.114,749,342
32,1781507023204557568,Right,0,032_rgb.jpg,032_a30.jpg,032_a50.jpg,032_a70.jpg,0.000,306,394,0.867,732,432,0.000,377,645,0.122,750,342
33,1781507023454557568,Right,0,033_rgb.jpg,033_a30.jpg,033_a50.jpg,033_a70.jpg,0.000,304,392,0.902,733,434,0.000,377,645,0.188,746,350
34,1781507023704557568,Left,0,034_rgb.jpg,034_a30.jpg,034_a50.jpg,034_a70.jpg,0.765,361,440,0.071,766,430,0.000,382,645,0.043,362,311
35,1781507023954557568,Left,0,035_rgb.jpg,035_a30.jpg,035_a50.jpg,035_a70.jpg,0.906,337,454,0.000,683,401,0.000,470,645,0.216,309,384
36,1781507024204557568,Teleoperator,1,036_rgb.jpg,036_a30.jpg,036_a50.jpg,036_a70.jpg,0.031,322,466,0.000,684,415,0.353,530,838,0.024,301,436
37,1781507024454557568,Teleoperator,1,037_rgb.jpg,037_a30.jpg,037_a50.jpg,037_a70.jpg,0.000,306,394,0.000,680,415,0.380,532,837,0.000,0,0
38,1781507024704557568,Left,1,038_rgb.jpg,038_a30.jpg,038_a50.jpg,038_a70.jpg,0.812,363,456,0.000,680,415,0.325,392,707,0.122,379,250
39,1781507024954557568,Teleoperator,1,039_rgb.jpg,039_a30.jpg,039_a50.jpg,039_a70.jpg,0.004,308,394,0.000,678,413,0.361,531,835,0.004,239,383
