bag,group,game,mode,dur_s,n_ticks,n_heads,old_ms,new_ms,new_device,sec
G1_game2_Video,1,2,Video,204.6,819,3216,757.5,98.8,cpu,850.0
G1_game3_Tele,1,3,Tele,188.8,756,2977,764.1,95.7,cpu,786.0
G1_game4_PSSP,1,4,PSSP,195.6,783,3079,759.7,96.9,cpu,812.0
G1_game5_DoA,1,5,DoA,192.9,772,3037,760.7,97.7,cpu,801.0
G1_game6_Random,1,6,Random,188.4,754,2967,697.3,89.6,cpu,722.0
G2_game2_Video,2,2,Video,189.4,758,2974,700.6,89.3,cpu,727.0
G2_game3_PSSP,2,3,PSSP,196.5,786,3092,701.1,88.2,cpu,754.0
G2_game4_DoA,2,4,DoA,192.1,769,3029,699.2,90.3,cpu,743.0
G2_game5_Tele,2,5,Tele,195.6,783,3079,700.0,90.4,cpu,756.0
G2_game6_Random,2,6,Random,198.1,793,3117,701.9,88.6,cpu,765.0
G3_game2_Video,3,2,Video,192.1,769,3030,813.5,99.7,cpu,839.0
G3_game3_Tele,3,3,Tele,187.4,750,2957,810.8,103.6,cpu,818.0
G3_game4_DoA,3,4,DoA,195.0,781,3071,817.0,101.9,cpu,858.0
G3_game5_PSSP,3,5,PSSP,194.9,780,3067,807.4,104.0,cpu,855.0
G3_game6_Random,3,6,Random,188.8,756,2977,804.9,103.7,cpu,829.0
G4_game2_Video,4,2,Video,192.5,770,3034,805.1,104.1,cpu,846.0
G4_game3_DoA,4,3,DoA,190.1,761,2996,761.2,94.0,cpu,790.0
G4_game4_PSSP,4,4,PSSP,194.8,780,3067,759.5,95.6,cpu,810.0
G4_game5_Tele,4,5,Tele,189.8,760,2992,763.9,94.5,cpu,790.0
G4_game6_Random,4,6,Random,188.3,754,2970,759.8,96.8,cpu,783.0
G5_game2_Video,5,2,Video,190.1,761,2960,760.6,96.1,cpu,786.0
G5_game3_Random,5,3,Random,190.6,763,3004,760.4,95.3,cpu,791.0
G5_game4_Tele,5,4,Tele,192.0,768,3025,823.6,105.0,cpu,854.0
G5_game5_PSSP,5,5,PSSP,194.4,778,3060,838.3,108.5,cpu,882.0
G5_game6_DoA,5,6,DoA,189.8,760,2992,838.2,107.2,cpu,865.0
G6_game2_Video,6,2,Video,200.8,804,3159,827.7,109.5,cpu,907.0
G6_game3_Tele,6,3,Tele,188.9,756,2978,835.9,107.5,cpu,857.0
G6_game4_Random,6,4,Random,188.5,755,2973,830.4,107.9,cpu,857.0
G6_game5_PSSP,6,5,PSSP,195.3,782,3075,965.3,132.8,cpu,1022.0
G6_game6_DoA,6,6,DoA,188.5,754,2972,983.2,134.8,cpu,994.0
G7_game2_Video,7,2,Video,193.5,774,3049,1001.2,139.2,cpu,1035.0
