epoch,train_loss,test_loss,test_peak_dist_t1,test_peak_dist_t2,test_peak_dist_t3,test_peak_dist_t4,test_psr_k5_5_t1,test_psr_k5_5_t2,test_psr_k5_5_t3,test_psr_k5_5_t4,test_psr_aggregate
1,0.7393339250672538,0.6288135548432668,18.218791485691856,15.08621869047222,24.886651334179128,18.044642004536602,0.08759469696969698,0.0004734848484848485,0.0,0.0,0.022017045454545456
2,0.6211177791289564,0.6118068180300973,13.338244053149515,13.330616206334305,23.755738568420405,17.14103565525512,0.004261363636363636,0.036931818181818184,0.0,0.0,0.010298295454545456
3,0.6116223837744514,0.6038809770887549,12.337686587158522,12.706697890817091,24.26272101833859,21.7855587200287,0.4720643939393939,0.010416666666666666,0.0,0.0,0.12062026515151515
4,0.6063440300383658,0.6030241232929807,11.94135241075953,12.743090002224431,23.051964016567005,18.918301688242128,0.2987689393939394,0.10511363636363637,0.0,0.0,0.10097064393939394
5,0.602597264163899,0.5967235014294133,12.87568993334439,12.726730722212533,21.29467353181134,19.456129745936167,0.19128787878787878,0.23011363636363635,0.0,0.0,0.10535037878787878
6,0.5988903410029861,0.5954819682872656,13.1549405237701,12.550893289220092,24.40740319537463,19.84850777165304,0.023674242424242424,0.28551136363636365,0.0,0.0,0.07729640151515152
7,0.5969127671673613,0.5953352017836138,14.692394643876714,12.522399016845077,24.097354231501424,20.07218316768944,0.009943181818181818,0.13446969696969696,0.0,0.0,0.036103219696969696
8,0.5949820453265928,0.5934387860876141,15.190994145272093,12.482361515851409,24.618160905884622,20.30741285473859,0.007102272727272727,0.3210227272727273,0.0,0.0,0.08203125
9,0.5931778039122527,0.5903040712529962,14.939670722277068,12.728978957805822,23.95651252512475,18.809020488097868,0.006628787878787879,0.1240530303030303,0.0,0.0,0.032670454545454544
10,0.5913532781600952,0.5883718864484266,15.062422414761052,12.577223660429027,24.445215877481676,20.09103509888122,0.028882575757575756,0.11174242424242424,0.0,0.0,0.03515625
