epoch,train_loss,test_loss,test_peak_dist_t1,test_peak_dist_t2,test_peak_dist_t3,test_peak_dist_t4
1,0.0077611896259066485,0.004319665076168762,11.317157890376086,11.192266854663757,11.20705359620282,11.170683096797033
2,0.004972430838867748,0.00416670099101876,10.37508945060802,10.556474934085005,10.711445023813669,10.75300543206811
3,0.004849970461424056,0.004073237130862915,10.646193967357965,11.162116884748405,11.136790688492203,11.18578532076797
4,0.004772344140185262,0.004018109891859984,10.384579677116028,10.737263910040538,10.556730714547337,10.782436536544056
5,0.004713688239195,0.003994988760678097,9.807720105967457,10.472863486301822,10.400486252102525,10.393581436786512
6,0.004669964738080607,0.003983020632718266,10.02107969806298,10.64828606529918,10.554786092387753,10.655372973838595
7,0.0046013445997446336,0.004024645983537829,10.76670284758577,10.861415701486349,10.919726511963262,10.80307005804761
8,0.004512332973022507,0.004113060279368338,10.211431486158745,11.048061040629896,10.903242359637776,11.013573564347952
9,0.004422769307412262,0.0040351703080391006,10.078533640853088,10.582553841107972,10.511434273925094,10.482353032934387
10,0.004299335374311982,0.0041525350814812225,10.410217741939004,10.964482808911951,11.175907344955915,11.170534474341732
11,0.004205844580771073,0.004303529734765603,10.166581610659023,11.120557235939541,11.566264360040067,11.788689633672961
12,0.004074310854775831,0.004277823289686984,10.253867365680964,10.628128469360009,10.881190142878634,10.753306703835115
13,0.003911672197693192,0.004318703228438443,10.394735897069543,11.683299438527397,11.962634565232138,11.70341758503355
14,0.0037609559153412085,0.0042352226001887835,10.131164612562987,11.012522559730671,11.397518255045513,11.33457373677279
15,0.0036086143184494335,0.004453893065113913,10.55216313002726,11.466810013799146,11.9068847500453,11.803573988210646
16,0.0034394139776636355,0.004430525441950357,10.276025389746342,11.389484331419567,11.92799087283995,11.8038650111126
