epoch,train_loss,test_loss,test_peak_dist_t1,test_peak_dist_t2,test_peak_dist_t3,test_peak_dist_t4,test_psr_k5_5_t1,test_psr_k5_5_t2,test_psr_k5_5_t3,test_psr_k5_5_t4,test_psr_aggregate,test_pred_peak_mass_t1,test_pred_peak_mass_t2,test_pred_peak_mass_t3,test_pred_peak_mass_t4,test_pred_entropy_t1,test_pred_entropy_t2,test_pred_entropy_t3,test_pred_entropy_t4,test_target_peak_mass_t1,test_target_peak_mass_t2,test_target_peak_mass_t3,test_target_peak_mass_t4,test_target_entropy_t1,test_target_entropy_t2,test_target_entropy_t3,test_target_entropy_t4
1,0.06856727016651455,0.05154637816277417,11.099357255729092,11.148994644860569,11.274687893385844,11.332884822811668,0.6602272727272728,0.6582386363636363,0.6585227272727273,0.6585227272727273,0.658877840909091,0.008821957514928975,0.008911779428227502,0.009101297286711506,0.008875091150430723,6.586028681570391,6.668273242680553,6.6938279717148435,6.712153452760409,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
2,0.05440390199039351,0.05175430351360278,10.396366350789116,10.811035316200343,10.927769502438613,11.0357714702214,0.675,0.65,0.6528409090909091,0.6536931818181818,0.6578835227272728,0.008933209700505424,0.008070944915899542,0.008208630618087482,0.008200529150367387,6.479776040872851,6.620291909265128,6.633164157230018,6.63328108239721,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
3,0.05355657013954923,0.05079367160797119,10.580586578209232,11.283483578903743,11.25299296108808,11.281201074617341,0.6786931818181818,0.6485795454545454,0.653125,0.6536931818181818,0.6585227272727272,0.011582357498498586,0.011463725106970298,0.011465556212406566,0.010985566196323321,6.177112622496443,6.243983345847982,6.296533597880491,6.353164725453505,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
4,0.0529279920464272,0.050536535189233046,9.942464368074223,10.293223953106146,10.264353101914278,10.260881726818715,0.6713068181818181,0.6571022727272727,0.6582386363636363,0.6590909090909091,0.661434659090909,0.011209232091914193,0.011109637246547274,0.011148887564209961,0.011082115305549168,6.268239812957481,6.347147902006983,6.3670094853312955,6.3898480746272215,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
5,0.05249176774283543,0.05142364247956059,10.166399342655986,10.47598467152643,10.51607721876636,10.471772931119459,0.6713068181818181,0.6568181818181819,0.6565340909090909,0.65625,0.6602272727272727,0.01222429819334097,0.01245959036460464,0.012292865866355009,0.012151598658999656,6.274792113779059,6.286268696589015,6.3111260278986885,6.330143571642109,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
6,0.05207543094258975,0.05095147791911255,9.732386897116813,10.452419655348345,10.379519640068704,10.43949380209631,0.6823863636363636,0.6514204545454545,0.6534090909090909,0.6553977272727273,0.6606534090909091,0.011080620538704703,0.010552866670299343,0.010749355358712874,0.01048911673465915,6.380382886225644,6.47241078719384,6.471075217304876,6.510200890095857,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
7,0.05158218942746958,0.05092294891788201,10.656115453238005,11.429021175206884,11.553295480949565,11.558388036758748,0.6764204545454545,0.6525568181818182,0.6568181818181819,0.6548295454545454,0.66015625,0.01117615565485007,0.010707586307882103,0.009891396020327486,0.010030877800432754,6.313434359418079,6.401101756794724,6.5303945393474425,6.519234839682036,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
8,0.050780185909174824,0.05119709005071358,10.738911942489436,10.918218201806072,11.217187966820898,11.305465854008796,0.6644886363636363,0.6548295454545454,0.6488636363636363,0.6494318181818182,0.6544034090909091,0.012331581506515303,0.012299103957461172,0.01206631541119337,0.011880993184568209,6.221516898624614,6.244744594252821,6.2877305772869745,6.333220113791298,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
9,0.050159732824848854,0.051305389522828836,10.087617464022776,10.860800802825981,11.285519376209091,11.171110154841271,0.6715909090909091,0.6355113636363636,0.6230113636363637,0.6278409090909091,0.6394886363636364,0.01156899463814077,0.01109202015189497,0.01032023413523005,0.01003955746284508,6.296474076094543,6.333861945529131,6.444737227377113,6.47812374106342,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
10,0.04924108061994262,0.05254379177296704,10.142537296271827,10.819723505857585,11.022921272187052,11.04886347688398,0.6678977272727272,0.647159090909091,0.6372159090909091,0.6363636363636364,0.6471590909090909,0.01261075157884936,0.012621000645025793,0.01232886114236989,0.011660583838824687,6.08315132848851,6.102362835166169,6.164226922437824,6.250090918414977,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
11,0.04839624568600865,0.052455539611930196,10.483295757520187,11.576068124264658,12.106161461771363,12.050872742764577,0.6701704545454545,0.6193181818181818,0.5971590909090909,0.6039772727272728,0.62265625,0.01196139065741086,0.012723456243598923,0.012414636663417406,0.011894604562998956,6.2322412743335756,6.166049408120633,6.226509029192841,6.292005366399755,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
12,0.047501677565057486,0.05369248485023325,10.253783690730293,10.644389740971064,10.95762152357695,10.859968178309108,0.6673295454545455,0.6482954545454546,0.6349431818181818,0.6397727272727273,0.6475852272727273,0.01317295735928222,0.0130541692102263,0.01379041191241681,0.012851054067528313,6.079333527173602,6.1089991218870905,6.028389845456296,6.167890479626693,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
