epoch,train_loss,test_loss,test_peak_dist_t1,test_peak_dist_t2,test_peak_dist_t3,test_peak_dist_t4,test_psr_k5_5_t1,test_psr_k5_5_t2,test_psr_k5_5_t3,test_psr_k5_5_t4,test_psr_aggregate,test_pred_peak_mass_t1,test_pred_peak_mass_t2,test_pred_peak_mass_t3,test_pred_peak_mass_t4,test_pred_entropy_t1,test_pred_entropy_t2,test_pred_entropy_t3,test_pred_entropy_t4,test_target_peak_mass_t1,test_target_peak_mass_t2,test_target_peak_mass_t3,test_target_peak_mass_t4,test_target_entropy_t1,test_target_entropy_t2,test_target_entropy_t3,test_target_entropy_t4
1,0.007761184560128159,0.004319555147297003,11.316789375497114,11.192266854663757,11.20676950529373,11.170565422489542,0.6596590909090909,0.6579545454545455,0.6588068181818182,0.6576704545454546,0.6585227272727273,0.007842525206763843,0.007890943331649759,0.00769119751107741,0.007382872133829863,7.516696924025438,7.561082212090846,7.621917691590215,7.695672002744748,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
2,0.0049724572454579175,0.00416527579178695,10.380691640304715,10.565689375459533,10.710499293465357,10.756179618917036,0.6727272727272727,0.65625,0.6542613636363637,0.6534090909090909,0.6591619318181818,0.00800455278970413,0.007617438882676596,0.0077589903914457165,0.007760826242517719,6.995357473269888,7.032736643736305,7.00793605890762,7.019045252158826,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
3,0.004850583073087311,0.00406774754149162,10.680633857949857,11.164994011045602,11.174562198193817,11.220362083596466,0.6738636363636363,0.653125,0.6528409090909091,0.6556818181818181,0.6588778409090909,0.010887173926734392,0.01076839183872017,0.01056348437164859,0.01025299145501561,6.931054417040945,6.97317189647911,7.01113710420921,7.003259746392549,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
4,0.004772167853148216,0.004011450040111826,10.414069920558667,10.742194057770272,10.602553033800984,10.825850875140143,0.6690340909090909,0.6573863636363636,0.6588068181818182,0.659375,0.6611505681818182,0.010106082486101621,0.009865515427131079,0.00987535917353742,0.010125067388288582,6.834266497648765,6.908422536515418,6.911487286381249,6.923780304308002,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
5,0.004715277509496766,0.0039958953868005085,9.872391931199662,10.550510639060343,10.468552392134253,10.468707538138393,0.680965909090909,0.6556818181818181,0.6553977272727273,0.6553977272727273,0.6618607954545453,0.010246294052117438,0.01077286974775217,0.010559750760650369,0.010614014626024243,6.708826087841808,6.7168457806714414,6.751800929948324,6.749740152827049,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
6,0.00467114316587172,0.00398449300238016,9.936112892280102,10.577477024107653,10.469325434889416,10.549616376698413,0.6818181818181818,0.6482954545454546,0.6505681818181818,0.653125,0.6584517045454545,0.011257074578244689,0.01100290472591793,0.011009605615884039,0.011012911724173105,6.5895091439838325,6.622962656376152,6.630291170440338,6.651142884052983,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
7,0.004592650256681201,0.004047407003500584,10.51368197276753,10.935265954562253,10.879610338599665,10.763246607567696,0.6747159090909091,0.6551136363636364,0.6588068181818182,0.6588068181818182,0.6618607954545455,0.011081644541587735,0.010079068840390107,0.010210740880030204,0.010035002905892848,6.642188349937553,6.7566403588932955,6.753659690842971,6.7618232847900925,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
8,0.0045175924580475755,0.004142193475060842,9.97063879558969,11.040827039964562,10.866993144792131,11.005303941397884,0.6696022727272727,0.6301136363636364,0.6215909090909091,0.628125,0.6373579545454546,0.010223131686014277,0.009879554763503235,0.009441820411035277,0.009291452339556869,6.636069279439938,6.667422580673485,6.703851391672718,6.744097152763913,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
9,0.004411254258764743,0.004022057819582352,10.09377933107448,10.525208244537582,10.529660321753077,10.41802879571195,0.6681818181818182,0.6508522727272728,0.6517045454545455,0.6517045454545455,0.6556107954545455,0.011674006716535668,0.011752788315572207,0.011812775485822791,0.011611403660202874,6.516864954686543,6.569757765262876,6.57479687987009,6.5859806427881304,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
10,0.004310948052614763,0.004083130348325623,10.14449135570794,10.822249748430934,11.006560208986317,10.919299598739823,0.6727272727272727,0.6488636363636363,0.646875,0.6443181818181818,0.6531960227272726,0.011050943976380637,0.01080383235902715,0.010649038895578708,0.01029167367352376,6.512754454591107,6.58149512225998,6.615403926404509,6.675271940969454,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
11,0.00419725633400958,0.004242614108476449,10.158850146959093,11.366155615463477,11.864134751471566,11.730987553920631,0.6659090909090909,0.6210227272727272,0.6122159090909091,0.6125,0.6279119318181818,0.012418482134358868,0.012527320403955633,0.012287593929131818,0.012119543252766445,6.4180066703310175,6.470621801722728,6.5160674197636625,6.551385540625447,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
12,0.004065359021564398,0.004248275088717822,10.188218076733948,10.747269796350519,10.952014526885375,10.954846725965586,0.665625,0.6366477272727272,0.6352272727272728,0.6383522727272727,0.6439630681818181,0.010916525917693648,0.01052101250965047,0.010686181836611509,0.010830173452411197,6.506529454738559,6.5499832613059485,6.531303457167321,6.522488727870671,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
13,0.00395191104069133,0.0042614769148217,10.252999808103263,11.401924905817312,11.773468434752823,11.71703178558227,0.6647727272727273,0.6193181818181818,0.6048295454545455,0.6096590909090909,0.6246448863636365,0.012043756280938515,0.012143261067935647,0.012216207011607779,0.01178266070155133,6.404591007199795,6.407093940905058,6.4280470285237055,6.4810434461227056,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
14,0.003754708547015017,0.004204328449188986,10.219952687009188,10.797665764415983,10.932101629887194,11.205016803412127,0.6673295454545455,0.6474431818181818,0.6372159090909091,0.6301136363636364,0.6455255681818182,0.013863480124160821,0.013749149099629316,0.01359330263099914,0.012505246290870756,6.274916263379315,6.295967081750485,6.31001732175134,6.4149759620717575,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
15,0.0036015104363768305,0.004506940912158991,10.302046050910324,11.251410753368834,11.632439353498551,11.454337751565571,0.66875,0.6326704545454546,0.621875,0.6284090909090909,0.6379261363636364,0.011299267196491982,0.011885586137118632,0.0123873674898657,0.01237465097743912,6.310890654306924,6.252049476084834,6.218447902363809,6.222079055259799,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
16,0.003456651257104514,0.004541042001536963,10.4369280604756,11.265236587536414,11.223363379927381,11.14843958361746,0.6443181818181818,0.6198863636363636,0.6232954545454545,0.6278409090909091,0.6288352272727272,0.010808349412980436,0.01177282473761745,0.012635577620527015,0.012815678691210175,6.405834604827141,6.313018080154168,6.257373002621734,6.2627232196819165,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
