bag,group,game,mode,dur_s,n_ticks,sec
Demonstration_Data_1,Demonstration_Data_nonconv,,,9.7,20,4.4
Demonstration_Data_10,Demonstration_Data,,,51.1,103,4.5
Demonstration_Data_2,Demonstration_Data_nonconv,,,19.4,39,6.5
Demonstration_Data_3,Demonstration_Data_nonconv,,,15.9,32,6.6
Demonstration_Data_4,Demonstration_Data_nonconv,,,20.7,42,7.4
Demonstration_Data_5,Demonstration_Data,,,21.4,43,7.4
Demonstration_Data_6,Demonstration_Data,,,17.7,36,6.7
Demonstration_Data_7,Demonstration_Data,,,13.4,27,5.5
Demonstration_Data_8,Demonstration_Data,,,11.2,23,4.9
Demonstration_Data_9,Demonstration_Data,,,5.0,10,3.6
Experiment0312_EXP3_DoA,Experiment0312,,DoA,173.6,348,6.5
Experiment0312_EXP3_PSSP,Experiment0312,,PSSP,184.2,369,63.1
Experiment0312_EXP3_Random,Experiment0312,,Random,175.1,351,57.7
Experiment0312_EXP3_Tele,Experiment0312,,Tele,178.7,358,58.4
Experiment0312_EXP3_Video,Experiment0312,,Video,183.2,367,61.5
Experiment1126_EXP1_DoA,Experiment1126,,DoA,246.3,493,94.1
Experiment1126_EXP1_PSSP,Experiment1126,,PSSP,243.6,488,94.4
Experiment1126_EXP1_Random,Experiment1126,,Random,226.2,453,86.2
Experiment1126_EXP1_Tele,Experiment1126,,Tele,253.3,507,99.2
Experiment1126_EXP1_Video,Experiment1126,,Video,233.2,467,92.0
Experiment1126_EXP2_DoA,Experiment1126,,DoA,282.0,565,
Experiment1126_EXP2_PSSP,Experiment1126,,PSSP,255.4,511,76.6
Experiment1126_EXP2_Random,Experiment1126,,Random,268.8,538,99.8
Experiment1126_EXP2_Tele,Experiment1126,,Tele,260.0,521,96.8
Experiment1126_EXP2_Video,Experiment1126,,Video,202.3,405,76.5
G10_game2_Video,10,2,Video,190.5,382,66.7
G10_game3_PSSP,10,3,PSSP,193.7,388,66.3
G10_game4_Tele,10,4,Tele,187.9,376,64.1
G10_game5_DoA,10,5,DoA,187.9,376,64.4
G10_game6_Random,10,6,Random,186.9,374,63.7
G10_interview,10,,Interview,520.2,1041,160.2
G11_game2_Video,11,2,Video,192.1,385,86.4
G11_game3_Random,11,3,Random,188.3,377,96.1
G11_game4_DoA,11,4,DoA,188.7,378,64.7
G11_game5_Tele,11,5,Tele,187.9,376,64.1
G11_game6_PSSP,11,6,PSSP,194.3,389,67.9
G11_interview,11,,Interview,601.1,1203,189.7
G12_game2_Video,12,2,Video,191.8,384,61.1
